Year,Month,Period,Expected_Gen_MW,Gen_Std,Hours
2026,1,offpeak,61.05448816964286,29.8136704168913,168
2026,1,peak,59.46155714569537,30.354875666704437,755
2026,2,offpeak,67.2980576119403,36.13933379082574,134
2026,2,peak,69.59607185881627,34.3465831213609,811
2026,3,offpeak,66.54364189102564,35.49142001717004,156
2026,3,peak,72.44318744240839,34.34962046374652,955
2026,4,offpeak,77.88370355263157,33.51900234141286,171
2026,4,peak,76.42236663565133,33.82648889994271,1021
2026,5,offpeak,82.01163791294643,30.426934673236822,224
2026,5,peak,79.63091865223464,31.79376298652522,1074
2026,6,offpeak,82.90589023351649,28.299830010557603,182
2026,6,peak,82.56983156220984,28.423977567219097,1077
2026,7,offpeak,83.8971311659664,28.173363096008874,238
2026,7,peak,80.44613761983084,30.150537129532555,1064
2026,8,offpeak,73.78497432098767,34.53294209912839,162
2026,8,peak,76.72361647325476,33.30301084234541,1103
2026,9,offpeak,75.839895,31.812098181979664,199
2026,9,peak,75.69431208287597,31.072609332384477,911
2026,10,offpeak,72.47109117834395,29.35511770733031,157
2026,10,peak,71.67981680743245,29.277056895178905,888
2026,11,offpeak,60.70114428343949,28.625855975308642,157
2026,11,peak,60.4982194235589,29.766394492514117,798
2026,12,offpeak,44.231134776785716,29.1440350974557,168
2026,12,peak,50.53172194926569,29.129087647717217,749
2027,1,offpeak,60.74921572879464,29.664602064806843,168
2027,1,peak,59.164249359966895,30.203101288370913,755
2027,2,offpeak,66.96156732388059,35.958637121871604,134
2027,2,peak,69.24809149952219,34.17485020575409,811
2027,3,offpeak,66.2109236815705,35.31396291708419,156
2027,3,peak,72.08097150519635,34.17787236142779,955
2027,4,offpeak,77.49428503486841,33.35140732970579,171
2027,4,peak,76.04025480247306,33.657356455442994,1021
2027,5,offpeak,81.6015797233817,30.274799999870638,224
2027,5,peak,79.23276405897346,31.634794171592596,1074
2027,6,offpeak,82.4913607823489,28.158330860504815,182
2027,6,peak,82.15698240439879,28.281857679383,1077
2027,7,offpeak,83.47764551013657,28.03249628052883,238
2027,7,peak,80.04390693173168,29.99978444388489,1064
2027,8,offpeak,73.41604944938273,34.360277388632745,162
2027,8,peak,76.3399983908885,33.13649578813368,1103
2027,9,offpeak,75.46069552499999,31.653037691069766,199
2027,9,peak,75.31584052246158,30.917246285722555,911
2027,10,offpeak,72.10873572245222,29.20834211879366,157
2027,10,peak,71.32141772339527,29.13067161070301,888
2027,11,offpeak,60.397638562022294,28.482726695432095,157
2027,11,peak,60.195728326441106,29.617562520051543,798
2027,12,offpeak,44.00997910290179,28.99831492196842,168
2027,12,peak,50.27906333951936,28.983442209478632,749
2028,1,offpeak,60.44546965015066,29.516279054482805,168
2028,1,peak,58.868428113167056,30.05208578192906,755
2028,2,offpeak,66.62675948726118,35.77884393626225,134
2028,2,peak,68.90185104202457,34.00397595472532,811
2028,3,offpeak,65.87986906316266,35.13739310249877,156
2028,3,peak,71.72056664767035,34.00698299962065,955
2028,4,offpeak,77.10681360969407,33.18465029305727,171
2028,4,peak,75.6600535284607,33.48906967316578,1021
2028,5,offpeak,81.19357182476479,30.12342599987128,224
2028,5,peak,78.83660023867859,31.47662020073463,1074
2028,6,offpeak,82.07890397843715,28.01753920620229,182
2028,6,peak,81.7461974923768,28.140448390986084,1077
2028,7,offpeak,83.06025728258588,27.89233379912618,238
2028,7,peak,79.64368739707301,29.849785521665464,1064
2028,8,offpeak,73.04896920213581,34.18847600168958,162
2028,8,peak,75.95829839893405,32.97081330919301,1103
2028,9,offpeak,75.083392047375,31.494772502614413,199
2028,9,peak,74.93926131984928,30.76266005429394,911
2028,10,offpeak,71.74819204383996,29.06230040819969,157
2028,10,peak,70.96481063477829,28.985018252649493,888
2028,11,offpeak,60.09565036921218,28.340313061954934,157
2028,11,peak,59.89474968480889,29.469474707451283,798
2028,12,offpeak,43.789929207387274,28.853323347358575,168
2028,12,peak,50.02766802282176,28.838524998431236,749
2029,1,offpeak,60.14324230189991,29.368697659210394,168
2029,1,peak,58.574085972601225,29.90182535301941,755
2029,2,offpeak,66.29362568982488,35.59994971658094,134
2029,2,peak,68.55734178681446,33.83395607495169,811
2029,3,offpeak,65.55046971784684,34.96170613698627,156
2029,3,peak,71.361963814432,33.83694808462254,955
2029,4,offpeak,76.7212795416456,33.01872704159198,171
2029,4,peak,75.28175326081839,33.32162432479995,1021
2029,5,offpeak,80.78760396564095,29.972808869871926,224
2029,5,peak,78.4424172374852,31.319237099730955,1074
2029,6,offpeak,81.66850945854497,27.87745151017128,182
2029,6,peak,81.33746650491491,27.999746149031154,1077
2029,7,offpeak,82.64495599617295,27.75287213013055,238
2029,7,peak,79.24546896008765,29.700536594057137,1064
2029,8,offpeak,72.68372435612513,34.01753362168113,162
2029,8,peak,75.57850690693938,32.80595924264705,1103
2029,9,offpeak,74.70797508713812,31.337298640101345,199
2029,9,peak,74.56456501325003,30.608846754022473,911
2029,10,offpeak,71.38945108362077,28.91698890615869,157
2029,10,peak,70.6099865816044,28.840093161386246,888
2029,11,offpeak,59.79517211736612,28.19861149664516,157
2029,11,peak,59.59527593638485,29.32212733391403,798
2029,12,offpeak,43.57097956135034,28.709056730621786,168
2029,12,peak,49.77752968270765,28.69433237343908,749
2030,1,offpeak,59.842526090390415,29.22185417091434,168
2030,1,peak,58.28121554273822,29.752316226254315,755
2030,2,offpeak,65.96215756137575,35.42194996799803,134
2030,2,peak,68.21455507788039,33.664786294576935,811
2030,3,offpeak,65.22271736925761,34.786897606301345,156
2030,3,peak,71.00515399535985,33.66776334419943,955
2030,4,offpeak,76.33767314393738,32.85363340638402,171
2030,4,peak,74.9053444945143,33.15501620317595,1021
2030,5,offpeak,80.38366594581275,29.82294482552257,224
2030,5,peak,78.05020515129777,31.162640914232302,1074
2030,6,offpeak,81.26016691125224,27.738064252620422,182
2030,6,peak,80.93077917239034,27.859747418286,1077
2030,7,offpeak,82.23173121619209,27.6141077694799,238
2030,7,peak,78.84924161528721,29.552033911086852,1064
2030,8,offpeak,72.3203057343445,33.84744595357273,162
