Year,Month,Period,Expected_Gen_MW,Gen_Std,Hours
2026,1,offpeak,23.5527047859375,23.071147687636984,896
2026,1,peak,24.17821305362903,20.95627168963746,744
2026,2,offpeak,29.307818786697247,25.708380691128,872
2026,2,peak,30.675258320665083,27.849419448532228,842
2026,3,offpeak,28.934672273451326,24.973076853467575,1017
2026,3,peak,26.496968922986035,23.568540779666865,931
2026,4,offpeak,21.907436478260866,22.25757828495663,690
2026,4,peak,22.356764826923076,21.006113543018124,650
2026,5,offpeak,25.80514519921182,23.293563685533865,1015
2026,5,peak,24.775394133333332,21.52794272959454,891
2026,6,offpeak,26.148217663554217,23.821973101313894,996
2026,6,peak,22.910079054797684,21.738877380744995,865
2026,7,offpeak,24.472832929007634,22.07475414282507,1048
2026,7,peak,16.2234817008284,17.408206316145424,845
2026,8,offpeak,22.689364139471106,21.08198267991567,1021
2026,8,peak,18.73081343274725,18.41980188456396,910
2026,9,offpeak,19.845736142135475,19.801416325248343,871
2026,9,peak,22.455374658647592,21.481895243469197,769
2026,10,offpeak,25.349497127669345,21.082880701751282,871
2026,10,peak,24.826902934938406,22.630967869295,893
2026,11,offpeak,26.11600793478261,22.758688881391333,897
2026,11,peak,26.823120855118113,25.18719453078166,762
2026,12,offpeak,27.71851248578838,26.62275489888123,964
2026,12,peak,27.398920294964025,26.406271379847297,834
2027,1,offpeak,23.387835852435938,22.909649653823525,896
2027,1,peak,24.00896556225363,20.80957778781,744
2027,2,offpeak,29.102664055190367,25.528422026290105,872
2027,2,peak,30.46053151242043,27.654473512392503,842
2027,3,offpeak,28.732129567537168,24.798265315493303,1017
2027,3,peak,26.311490140525134,23.403560994209197,931
2027,4,offpeak,21.754084422913042,22.101775236961934,690
2027,4,peak,22.200267473134616,20.859070748216997,650
2027,5,offpeak,25.62450918281734,23.13050873973513,1015
2027,5,peak,24.6019663744,21.37724713048738,891
2027,6,offpeak,25.96518013990934,23.655219289604698,996
2027,6,peak,22.7497085014141,21.58670523907978,865
2027,7,offpeak,24.301523098504585,21.920230863825296,1048
2027,7,peak,16.109917328922606,17.286348871932407,845
2027,8,offpeak,22.53053859049481,20.934408801156263,1021
2027,8,peak,18.59969773871802,18.290863271372015,910
2027,9,offpeak,19.70681598914053,19.662806410971605,871
2027,9,peak,22.29818703603706,21.331521976764915,769
2027,10,offpeak,25.172050647775663,20.935300536839026,871
2027,10,peak,24.65311461439384,22.472551094209937,893
2027,11,offpeak,25.933195879239133,22.599378059221596,897
2027,11,peak,26.635359009132287,25.01088416906619,762
2027,12,offpeak,27.524482898387863,26.436395614589063,964
2027,12,peak,27.20712785289928,26.221427480188368,834
2028,1,offpeak,23.224121001468887,22.74928210624676,896
2028,1,peak,23.840902803317853,20.66391074329533,744
2028,2,offpeak,28.898945406804035,25.349723072106073,872
2028,2,peak,30.247307791833485,27.460892197805755,842
2028,3,offpeak,28.531004660564406,24.62467745828485,1017
2028,3,peak,26.127309709541457,23.239736067249734,931
2028,4,offpeak,21.60180583195265,21.9470628103032,690
2028,4,peak,22.044865600822675,20.71305725297948,650
2028,5,offpeak,25.44513761853762,22.968595178556985,1015
2028,5,peak,24.4297526097792,21.22760640057397,891
2028,6,offpeak,25.783423878929973,23.489632754577467,996
2028,6,peak,22.590460541904203,21.435598302406223,865
2028,7,offpeak,24.13141243681505,21.76678924777852,1048
2028,7,peak,15.997147907620146,17.16534442982888,845
2028,8,offpeak,22.372824820361345,20.787867939548168,1021
2028,8,peak,18.469499854546996,18.16282722847241,910
2028,9,offpeak,19.568868277216545,19.525166766094806,871
2028,9,peak,22.1420997267848,21.182201322927558,769
2028,10,offpeak,24.995846293241232,20.78875343308115,871
2028,10,peak,24.480542812093084,22.315243236550465,893
2028,11,offpeak,25.75166350808446,22.441182412807045,897
2028,11,peak,26.44891149606836,24.835807979882727,762
2028,12,offpeak,27.331811518099148,26.25134084528694,964
2028,12,peak,27.016677957928984,26.03787748782705,834
2029,1,offpeak,23.061552154458603,22.59003713150303,896
2029,1,peak,23.674016483694626,20.51926336809226,744
2029,2,offpeak,28.696652788956403,25.17227501060133,872
2029,2,peak,30.03557663729065,27.268665952421113,842
2029,3,offpeak,28.331287627940455,24.452304716076853,1017
2029,3,peak,25.944418541574667,23.077057914778983,931
2029,4,offpeak,21.45059319112898,21.793433370631078,690
2029,4,peak,21.89055154161691,20.568065852208623,650
2029,5,offpeak,25.267021655207852,22.80781501230708,1015
2029,5,peak,24.258744341510745,21.079013155769946,891
2029,6,offpeak,25.60293991177746,23.32520532529542,996
2029,6,peak,22.43232731811087,21.285549114289378,865
2029,7,offpeak,23.962492549757343,21.614421723044067,1048
2029,7,peak,15.885167872266804,17.045187018820076,845
2029,8,offpeak,22.216215046618814,20.64235286397133,1021
2029,8,peak,18.340213355565165,18.0356874378731,910
2029,9,offpeak,19.43188619927603,19.38849059873214,871
2029,9,peak,21.987105028697307,21.033925913667066,769
2029,10,offpeak,24.820875369188542,20.64323215904958,871
2029,10,peak,24.30917901240843,22.15903653389461,893
2029,11,offpeak,25.571401863527864,22.284094135917393,897
2029,11,peak,26.263769115595878,24.661957324023547,762
2029,12,offpeak,27.14048883747245,26.06758145936993,964
2029,12,peak,26.82756121222348,25.855612345412258,834
2030,1,offpeak,22.90012128937739,22.431906871582513,896
2030,1,peak,23.508298368308765,20.375628524515616,744
2030,2,offpeak,28.495776219433708,24.996069085527118,872
2030,2,peak,29.825327600829617,27.077785290754168,842
2030,3,offpeak,28.132968614544872,24.281138583064315,1017
2030,3,peak,25.762807611783643,22.91551850937553,931
2030,4,offpeak,21.30043903879108,21.64087933703666,690
